goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8568558	       146.3 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8520183	       145.0 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8087344	       144.8 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8204718	       143.0 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8452028	       143.3 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8277480	       143.6 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8281005	       144.3 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8488468	       145.1 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8554747	       147.4 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1024B-12 	 8196718	       144.5 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2198950	       544.8 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2198071	       545.7 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2191674	       546.0 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2205872	       549.4 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2179561	       553.7 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2205445	       543.1 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2215161	       544.9 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2173245	       549.8 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2198454	       543.8 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/65536B-12         	 2194188	       546.1 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2222346	       546.0 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2223484	       546.5 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2185983	       548.2 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2194982	       549.1 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2188006	       546.4 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2217978	       545.4 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2194383	       546.1 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2217100	       541.1 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2216188	       546.7 ns/op	      52 B/op	       2 allocs/op
BenchmarkCheckRawRPCErrorGzipSuccess/1048576B-12       	 2212369	       542.3 ns/op	      52 B/op	       2 allocs/op
